,Household level identifier,Target,=1 Overcrowding by bedrooms,=1 Overcrowding by rooms,=1 has toilet in the household,=1 if the household has refrigerator,=1 if predominant material on the outside wall is block or brick,"=1 if predominant material on the outside wall is socket (wood, zinc or absbesto",=1 if predominant material on the outside wall is prefabricated or cement,=1 if predominant material on the floor is cement,=1 if predominant material on the outside wall is waste material,=1 if predominant material on the outside wall is wood ,=1 if predominant material on the outside wall is zink,=1 if predominant material on the outside wall is natural fibers,=1 if predominant material on the outside wall is other,"=1 if predominant material on the floor is mosaic, ceramic, terrazo",=1 if predominant material on the floor is other,=1 if predominant material on the floor is  natural material,=1 if no floor at the household,=1 if predominant material on the floor is wood,=1 if predominant material on the roof is metal foil or zink,"=1 if predominant material on the roof is fiber cement, mezzanine ",=1 if predominant material on the roof is natural fibers,=1 if predominant material on the roof is other,=1 if the house has ceiling,=1 if water provision inside the dwelling,=1 if water provision outside the dwelling,=1 if no water provision,=1 no toilet in the dwelling,=1 toilet connected to sewer or cesspool,=1 toilet connected to  septic tank,=1 toilet connected to black hole or letrine,=1 toilet connected to other system,=1 no main source of energy used for cooking (no kitchen),=1 main source of energy used for cooking electricity,=1 main source of energy used for cooking gas,=1 main source of energy used for cooking wood charcoal,=1 if rubbish disposal mainly by tanker truck,=1 if rubbish disposal mainly by botan hollow or buried,=1 if rubbish disposal mainly by burning,=1 if rubbish disposal mainly by throwing in an unoccupied space,=1 if rubbish disposal mainly other,=1 own and fully paid house,"=1 own, paying in installments",=1 rented,=1 precarious,"=1 other(assigned, borrowed)",=1 if the household has notebook or desktop computer,=1 if the household has TV,=1 region Central,=1 region Chorotega,=1 region PacÃƒÂ­fico central,=1 region Brunca,=1 region Huetar AtlÃƒÂ¡ntica,=1 region Huetar Norte,=1 zona urbana,Monthly rent payment,Dependency rate,years of education of male head of household,years of education of female head of household,average years of education for adults (18+),# persons per room, number of all rooms in the house,Males younger than 12 years of age,Males 12 years of age and older,Total males in the household,Females younger than 12 years of age,Females 12 years of age and older,Total females in the household,persons younger than 12 years of age,persons 12 years of age and older,number of tablets household owns,TamViv,household size,Number of children 0 to 19 in household,Number of adults in household,# of individuals 65+ in the household,number of bedrooms,# of mobile phones,electricity,electricity-missing,walls,roof,floor,no_essentials,luxury,phones-per-capita,tablets-per-capita,rooms-per-capita,rent-per-capita,owns a tablet-min,owns a tablet-sum,owns a tablet-count,owns a tablet-std,owns a tablet-range_,=1 if disable person-min,=1 if disable person-max,=1 if disable person-sum,=1 if female-min,=1 if female-max,=1 if female-sum,=1 if female-std,=1 if female-range_,=1 if less than 10 years old-min,=1 if less than 10 years old-max,=1 if less than 10 years old-sum,=1 if free or coupled uunion-min,=1 if free or coupled uunion-max,=1 if free or coupled uunion-std,=1 if married-min,=1 if married-max,=1 if married-std,=1 if divorced-min,=1 if divorced-max,=1 if separated-min,=1 if separated-max,=1 if separated-sum,=1 if widow/er-min,=1 if widow/er-max,=1 if single-min,=1 if single-max,=1 if single-sum,=1 if single-std,=1 if household head-min,=1 if household head-max,=1 if household head-std,=1 if spouse/partner-min,=1 if spouse/partner-max,=1 if son/doughter-min,=1 if son/doughter-max,=1 if son/doughter-sum,=1 if stepson/doughter-min,=1 if stepson/doughter-max,=1 if stepson/doughter-sum,=1 if son/doughter in law-min,=1 if son/doughter in law-max,=1 if grandson/doughter-min,=1 if grandson/doughter-max,=1 if grandson/doughter-sum,=1 if mother/father-min,=1 if mother/father-max,=1 if father/mother in law-min,=1 if father/mother in law-max,=1 if brother/sister-min,=1 if brother/sister-max,=1 if brother/sister-sum,=1 if brother/sister in law-min,=1 if brother/sister in law-max,=1 if brother/sister in law-sum,=1 if other family member-min,=1 if other family member-max,=1 if other family member-sum,=1 if other non family member-min,=1 if other non family member-max,=1 if other non family member-sum,=1 if mobile phone-min,=1 if mobile phone-std,=1 if mobile phone-range_,years of schooling-min,years of schooling-max,years of schooling-sum,years of schooling-std,years of schooling-range_,Age in years-min,Age in years-max,Age in years-sum,Age in years-std,Age in years-range_,max_edu-max,max_edu-std,max_edu-range_,schooling/age-min,schooling/age-max,schooling/age-sum,schooling/age-std,schooling/age-range_
10,3e16fab89,4,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,100000.0,0.0,6.0,0.0,10.333333,3.0,1,0,2,2,0,1,1,0,3,0.0,3,3,0,3,0,1,3,2.0,False,2,2,2,1,1,1.0,0.0,0.3333333333333333,33333.333333333336,0,0,3,0.0,0,0,0,0,0,1,1,0.5773502691896258,1,0,0,0,0,0,0.0,0,1,0.5773502691896258,0,0,0,1,1,0,0,0,0,0,0.0,0,1,0.5773502691896258,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,6,13,31,3.7859388972001824,7,20,41,101,11.846237095944574,21,7,2.6457513110645907,5,0.14634146341463414,0.65,1.0963414634146342,0.2581288009698739,0.5036585365853659
11,1e84a2ac8,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,15.0,0.0,15.0,0.5,5,0,1,1,0,0,0,0,1,0.0,1,1,0,1,0,2,2,2.0,False,1,1,1,2,1,2.0,0.0,5.0,0.0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,1,1,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,15,15,15,,0,44,44,44,,0,7,,0,0.3409090909090909,0.3409090909090909,0.3409090909090909,,0.0
12,759df0194,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,120000.0,0.5,6.0,0.0,6.666666499999999,1.5,4,0,2,2,0,1,1,0,3,1.0,3,3,0,3,1,2,3,2.0,False,2,2,2,1,3,1.0,0.3333333333333333,1.3333333333333333,40000.0,1,3,3,0.0,0,0,0,0,0,1,1,0.5773502691896258,1,0,0,0,0,0,0.0,0,1,0.5773502691896258,0,0,0,0,0,0,0,0,1,1,0.5773502691896258,0,1,0.5773502691896258,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,6,8,20,1.1547005383792515,2,33,69,164,19.087517736293876,36,3,0.5773502691896257,1,0.08695652173913043,0.24242424242424243,0.42615495771175993,0.08706370808428861,0.155467720685112
13,f2fcf00fd,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,100000.0,0.0,8.0,0.0,9.5,1.0,5,0,1,1,0,1,1,0,2,0.0,2,2,0,2,0,2,2,2.0,False,1,1,2,1,1,1.0,0.0,2.5,50000.0,0,0,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.7071067811865476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,8,11,19,2.1213203435596424,3,28,35,63,4.949747468305833,7,4,0.7071067811865476,1,0.22857142857142856,0.39285714285714285,0.6214285714285714,0.11616754262350422,0.16428571428571428
14,cb6bb28dd,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.25,11.0,0.0,5.25,1.6666666,5,0,4,4,0,1,1,0,5,0.0,5,5,1,4,0,3,3,2.0,False,1,1,2,1,1,0.6,0.0,1.0,0.0,0,0,5,0.0,0,0,0,0,0,1,1,0.4472135954999579,1,0,0,0,0,1,0.5477225575051662,0,0,0.0,0,0,0,0,0,0,0,0,1,3,0.5477225575051662,0,1,0.447213595499958,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,11,21,4.43846820423443,11,19,56,185,16.1245154965971,37,4,1.51657508881031,4,0.0,0.2,0.4898351648351648,0.09380884620145946,0.2
15,cbf24a06c,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,80000.0,0.5,8.0,0.0,7.0,1.5,4,0,2,2,0,1,1,0,3,0.0,3,3,1,2,0,2,2,2.0,False,0,1,0,1,1,0.6666666666666666,0.0,1.3333333333333333,26666.666666666668,0,0,3,0.0,0,0,0,0,0,1,1,0.5773502691896258,1,0,0,0,0,1,0.5773502691896258,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.5773502691896258,0,1,0.5773502691896258,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,6,8,22,1.1547005383792517,2,15,37,88,12.42309676905615,22,3,0.5773502691896258,1,0.16666666666666666,0.5333333333333333,0.9162162162162162,0.19894005306192078,0.3666666666666667
16,922a1f87a,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,90000.0,0.0,0.0,9.0,11.0,1.0,5,0,1,1,0,1,1,0,2,1.0,2,2,0,2,0,2,2,2.0,False,1,2,2,1,2,1.0,0.5,2.5,45000.0,1,2,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,9,13,22,2.8284271247461903,4,24,44,68,14.142135623730951,20,7,2.8284271247461903,4,0.20454545454545456,0.5416666666666666,0.7462121212121212,0.2383806951727376,0.33712121212121204
17,a57a1f2f4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,2.0,0.0,15.0,15.5,1.0,8,0,2,2,0,1,1,0,3,1.0,3,3,1,2,1,3,3,2.0,False,2,2,2,1,3,1.0,0.3333333333333333,2.6666666666666665,0.0,1,3,3,0.0,0,0,0,0,0,1,1,0.5773502691896258,1,0,0,0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,1,0,1,1,0.5773502691896258,0,1,0.5773502691896258,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,8,16,39,4.358898943540674,8,15,76,135,30.512292604784715,61,7,2.309401076758503,4,0.19736842105263158,0.5333333333333333,1.0943381180223286,0.16798537264651997,0.33596491228070174
18,9b084b23d,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,8.0,17.0,0.0,10.0,1.0,4,0,1,1,0,1,1,0,2,0.0,2,2,0,2,2,2,1,2.0,False,1,1,1,1,1,0.5,0.0,2.0,0.0,0,0,2,0.0,0,0,1,1,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0.0,0,1,0.7071067811865476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,3,17,20,9.899494936611665,14,69,94,163,17.67766952966369,25,7,4.242640687119285,6,0.031914893617021274,0.2463768115942029,0.2782917052112242,0.15164747650793828,0.21446191797718164
19,6ddd55b3e,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.5,11.0,0.0,13.5,1.5,5,0,1,1,1,1,2,1,2,1.0,3,3,1,2,0,2,2,2.0,False,1,1,2,1,2,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,1,3,3,0.0,0,0,0,0,0,1,2,0.5773502691896258,1,0,1,1,0,0,0.0,0,1,0.5773502691896258,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.5773502691896258,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,16,29,7.094598884597588,14,8,48,101,22.27853974867593,40,7,3.0,6,0.22916666666666666,0.35555555555555557,0.8347222222222223,0.0677620276174738,0.1263888888888889
20,652a7ffa0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,120000.0,1.0,11.0,0.0,11.0,2.0,5,0,1,1,1,2,3,1,3,0.0,4,4,2,2,0,2,2,2.0,False,1,2,1,1,1,0.5,0.0,1.25,30000.0,0,0,4,0.0,0,0,0,0,0,1,3,0.5,1,0,1,1,0,1,0.5773502691896257,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.5,0,1,0.5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,11,32,4.242640687119285,9,8,44,108,18.65475810617763,36,4,1.4142135623730951,3,0.25,0.5714285714285714,1.3333333333333333,0.15882933409674205,0.3214285714285714
